# English Elements with Recipes
# Format: TSV - id, name, emoji, parents (empty for base elements)
id	name	emoji	parents
water	Water	💧	
fire	Fire	🔥	
earth	Earth	🌍	
air	Air	🌬️	
steam	Steam	💨	water+fire
mud	Mud	🟫	water+earth
lava	Lava	🌋	fire+earth
dust	Dust	🌫️	air+earth
lightning	Lightning	⚡	air+fire
cloud	Cloud	☁️	air+water
rain	Rain	🌧️	cloud+water
storm	Storm	⛈️	cloud+lightning
obsidian	Obsidian	⬛	lava+water
plant	Plant	🌱	earth+rain
lake	Lake	🏞️	water+water
inferno	Inferno	🔥	fire+fire
mountain	Mountain	⛰️	earth+earth
wind	Wind	💨	air+air
stone	Stone	🪨	earth+pressure
sand	Sand	🏜️	stone+wind
glass	Glass	🪟	sand+fire
sea	Sea	🌊	water+lake
beach	Beach	🏖️	sea+sand
swamp	Swamp	🏞️	mud+plant
volcano	Volcano	🌋	mountain+lava
geyser	Geyser	⛲	volcano+water
mist	Mist	🌫️	water+air
pressure	Pressure	🗜️	air+air
energy	Energy	⚡	lightning+lightning
earthquake	Earthquake	🌋	earth+energy
tsunami	Tsunami	🌊	earthquake+sea
sky	Sky	🌌	air+cloud
sun	Sun	☀️	fire+sky
moon	Moon	🌕	sky+stone
night	Night	🌃	moon+sky
time	Time	⏳	sun+moon
tree	Tree	🌳	plant+time
forest	Forest	🌲	tree+tree
wood	Wood	🪵	tree+tool
salt	Salt	🧂	sea+fire
primordial_soup	Primordial Soup	🥣	water+energy
life	Life	🧬	primordial_soup+lightning
egg	Egg	🥚	life+life
animal	Animal	🐾	life+earth
bird	Bird	🐦	animal+air
fish	Fish	🐟	animal+water
lizard	Lizard	🦎	animal+swamp
dinosaur	Dinosaur	🦖	lizard+time
fossil	Fossil	🦴	dinosaur+earth
flower	Flower	🌸	plant+sun
grass	Grass	🌿	plant+earth
bee	Bee	🐝	flower+animal
honey	Honey	🍯	bee+flower
tool	Tool	🔧	stone+wood
human	Human	🧑	animal+tool
field	Field	🌾	earth+tool
farmer	Farmer	👨‍🌾	human+field
livestock	Livestock	🐄	animal+farmer
clay	Clay	🏺	mud+tool
pottery	Pottery	🏺	clay+fire
bricks	Bricks	🧱	clay+fire
house	House	🏠	bricks+wood
village	Village	🏘️	house+house
city	City	🏙️	village+village
charcoal	Charcoal	⚫	wood+fire
metal	Metal	⚙️	stone+fire
blade	Blade	🔪	metal+stone
sword	Sword	⚔️	blade+metal
warrior	Warrior	🛡️	human+sword
blood	Blood	🩸	human+blade
paper	Paper	📜	wood+water
writing	Writing	✍️	paper+human
book	Book	📖	paper+writing
library	Library	📚	book+book
knowledge	Knowledge	🧠	book+human
civilization	Civilization	🏛️	city+knowledge
electricity	Electricity	⚡	lightning+metal
lightbulb	Light Bulb	💡	electricity+glass
engine	Engine	⚙️	metal+steam
car	Car	🚗	engine+metal
boat	Boat	⛵	wood+water
ship	Ship	🚢	boat+metal
airplane	Airplane	✈️	bird+metal
computer	Computer	💻	electricity+metal
software	Software	💾	computer+knowledge
internet	Internet	🌐	computer+computer
ai	AI	🤖	computer+knowledge
robot	Robot	🤖	metal+ai
space	Space	🚀	sky+airplane
spaceship	Spaceship	🚀	space+metal
alien	Alien	👽	space+life
ufo	UFO	🛸	alien+spaceship
story	Story	📖	human+book
myth	Myth	📜	story+time
magic	Magic	✨	energy+knowledge
wizard	Wizard	🧙	human+magic
spell	Spell	🪄	magic+book
potion	Potion	🧪	magic+water
golem	Golem	🗿	clay+magic
dragon	Dragon	🐉	lizard+magic
phoenix	Phoenix	🐦‍🔥	bird+fire
horse	Horse	🐴	animal+human
unicorn	Unicorn	🦄	horse+magic
mermaid	Mermaid	🧜‍♀️	human+fish
pegasus	Pegasus	🐎	horse+bird
death	Death	💀	life+time
undead	Undead	🧟	death+magic
zombie	Zombie	🧟‍♂️	undead+human
ghost	Ghost	👻	death+energy
god	God	👑	human+immortality
angel	Angel	😇	human+heaven
demon	Demon	😈	human+hell
heaven	Heaven	☁️	sky+god
hell	Hell	🔥	fire+death
art	Art	🎨	human+color
music	Music	🎵	sound+human
love	Love	❤️	human+human
dream	Dream	💭	human+sleep
cold	Cold	🥶	water+air
ice	Ice	🧊	cold+water
glacier	Glacier	🏔️	ice+mountain
avalanche	Avalanche	🌨️	glacier+earthquake
desert	Desert	🏜️	sand+sun
oasis	Oasis	🏝️	desert+water
jungle	Jungle	🌴	forest+rain
fruit	Fruit	🍎	tree+flower
garden	Garden	🏡	plant+house
pollen	Pollen	🌼	flower+wind
ink	Ink	✒️	water+charcoal
philosophy	Philosophy	🤔	human+knowledge
science	Science	🔬	knowledge+tool
scientist	Scientist	👩‍🔬	human+science
steam_engine	Steam Engine	🚂	steam+engine
factory	Factory	🏭	steam_engine+house
smoke	Smoke	💨	fire+wood
smog	Smog	🌫️	smoke+city
planet	Planet	🪐	earth+space
continent	Continent	🗺️	earth+earth
country	Country	🇺🇳	continent+human
gold	Gold	🏆	metal+sun
diamond	Diamond	💎	carbon+pressure
money	Money	💰	gold+human
bank	Bank	🏦	money+house
war	War	💥	human+sword
army	Army	💂	warrior+warrior
gunpowder	Gunpowder	💣	charcoal+salt
gun	Gun	🔫	gunpowder+metal
soldier	Soldier	💂	human+gun
king	King	🤴	human+crown
queen	Queen	👸	human+crown
castle	Castle	🏰	house+king
knight	Knight	🛡️	warrior+horse
vampire	Vampire	🧛	human+blood
werewolf	Werewolf	🐺	human+wolf
wolf	Wolf	🐺	dog+wild
sickness	Sickness	🤢	human+bacteria
doctor	Doctor	👨‍⚕️	human+medicine
hospital	Hospital	🏥	house+doctor
medicine	Medicine	💊	plant+science
poison	Poison	☠️	plant+death
rust	Rust	🟤	metal+water
wave	Wave	🌊	water+wind
sound	Sound	🔊	air+energy
imagination	Imagination	💡	human+dream
idea	Idea	💡	human+lightbulb
mind	Mind	🧠	human+brain
soul	Soul	👻	human+spirit
happiness	Happiness	😊	human+joy
sadness	Sadness	😭	human+rain
joy	Joy	😂	human+music
sleep	Sleep	😴	human+night
ruler	Ruler	👑	human+power
crown	Crown	👑	gold+king
debt	Debt	📉	money+time
peace	Peace	🕊️	love+world
weapon	Weapon	🗡️	tool+war
explosion	Explosion	💥	gunpowder+fire
treaty	Treaty	🤝	peace+paper
ash	Ash	🌫️	fire+wood
river	River	🏞️	water+mountain
bridge	Bridge	🌉	river+wood
textile	Textile	🧵	thread+thread
clothing	Clothing	👕	textile+human
needle	Needle	🪡	metal+thread
thread	Thread	🧵	cotton+tool
rope	Rope	🪢	thread+thread
sail	Sail	⛵	cloth+wind
pyramid	Pyramid	🔺	stone+desert
mummy	Mummy	🧟	human+pyramid
hieroglyphs	Hieroglyphs	📜	writing+pyramid
papyrus	Papyrus	📜	plant+water
letter	Letter	✉️	paper+writing
mail	Mail	📫	letter+horse
email	Email	📧	letter+internet
meme	Meme	😂	internet+humor
sushi	Sushi	🍣	fish+rice
seaweed	Seaweed	🌿	plant+sea
pizza	Pizza	🍕	bread+cheese
cheese	Cheese	🧀	milk+bacteria
milk	Milk	🥛	cow+human
bread	Bread	🍞	flour+fire
flour	Flour	🌾	wheat+tool
wheat	Wheat	🌾	grass+farmer
alcohol	Alcohol	🍷	fruit+time
wine	Wine	🍷	grape+alcohol
beer	Beer	🍺	wheat+alcohol
sake	Sake	🍶	rice+alcohol
rice	Rice	🍚	grass+water
champagne	Champagne	🍾	wine+pressure
gas	Gas	💨	air+pressure
caviar	Caviar	🥚	fish+luxury
sweat	Sweat	💦	human+heat
steam_cloud	Steam Cloud	☁️	steam+cloud
blizzard	Blizzard	❄️	snow+wind
snow	Snow	❄️	ice+cloud
robot_dog	Robot Dog	🤖🐶	robot+dog
dog	Dog	🐶	wolf+human
cat	Cat	🐱	animal+house
mouse	Mouse	🐭	animal+cheese
cheese_wheel	Cheese Wheel	🧀🌀	cheese+wheel
wheel	Wheel	🛞	wood+tool
cart	Cart	🛒	wheel+wood
bicycle	Bicycle	🚲	wheel+wheel
train	Train	🚆	steam_engine+cart
locomotive	Locomotive	🚂	train+steam
rocket	Rocket	🚀	fire+metal
satellite	Satellite	🛰️	rocket+space
telescope	Telescope	🔭	glass+metal
microscope	Microscope	🔬	glass+science
virus	Virus	🦠	bacteria+sickness
