# Element Template for New Language
# Copy this file to elements.{lang}.tsv and translate the names
# Format: TSV - id, name, emoji, parents (empty for base elements)
# Keep the id, emoji, and parents columns exactly the same - only translate the name column
id	name	emoji	parents
water	[Translate: Water]	💧	
fire	[Translate: Fire]	🔥	
earth	[Translate: Earth]	🌍	
air	[Translate: Air]	🌬️	
steam	[Translate: Steam]	💨	water+fire
mud	[Translate: Mud]	🟫	water+earth
lava	[Translate: Lava]	🌋	fire+earth
dust	[Translate: Dust]	🌫️	air+earth
lightning	[Translate: Lightning]	⚡	air+fire
cloud	[Translate: Cloud]	☁️	air+water
rain	[Translate: Rain]	🌧️	cloud+water
storm	[Translate: Storm]	⛈️	cloud+lightning
obsidian	[Translate: Obsidian]	⬛	lava+water
plant	[Translate: Plant]	🌱	earth+rain
lake	[Translate: Lake]	🏞️	water+water
inferno	[Translate: Inferno]	🔥	fire+fire
mountain	[Translate: Mountain]	⛰️	earth+earth
wind	[Translate: Wind]	💨	air+air
stone	[Translate: Stone]	🪨	earth+pressure
sand	[Translate: Sand]	🏜️	stone+wind
# ... continue with all elements from elements.en.tsv
# Copy the entire English file and translate only the name column 
