# Elements Configuration File
# Format: TSV for simplicity and human-readable maintenance
# Columns: id, name, emoji, description, recipe (recipe as two IDs, e.g., id1+id2; empty for base elements)
id	name	emoji	description	recipe
water	Water	💧	The essence of life, fluid and adaptable	
fire	Fire	🔥	Pure energy, destructive yet creative	
earth	Earth	🌍	Solid foundation, stable and enduring	
air	Air	🌬️	Invisible force, ever-moving and free	
steam	Steam	💨	Water transformed by fire	water+fire
mud	Mud	🟫	Earth mixed with water	earth+water
lava	Lava	🌋	Earth melted by fire	fire+earth
dust	Dust	💨	Earth scattered by air	air+earth
lightning	Lightning	⚡	Fire channeled through air	fire+air
cloud	Cloud	☁️	Water suspended in air	water+air
rain	Rain	🌧️	Water falling from clouds	cloud+water
storm	Storm	⛈️	Lightning and clouds combined	lightning+cloud
obsidian	Obsidian	⬛	Lava cooled rapidly	lava+water
plant	Plant	🌱	Life sprouting from mud	mud+air
lake	Lake	🏞️	A large body of still water	water+water
inferno	Inferno	🔥	An intense, destructive fire	fire+fire
mountain	Mountain	⛰️	A towering peak of earth and stone	earth+earth
wind	Wind	💨	Moving air with great force	air+air
# --- Stage 2: Basic Nature & Materials ---
stone	Stone	🪨	A solid piece of rock	earth+lava
sand	Sand	🏖️	Tiny grains of rock and minerals	stone+wind
glass	Glass	🥃	A transparent material made from sand	sand+fire
sea	Sea	🌊	A vast expanse of saltwater	lake+water
beach	Beach	🏝️	A sandy or pebbly shore	sea+sand
swamp	Swamp	🏞️	Wet, spongy land; a bog	plant+mud
volcano	Volcano	🌋	A mountain that erupts with lava	lava+mountain
geyser	Geyser	🌋	Steam erupting from the earth	steam+earth
mist	Mist	🌫️	A cloud of tiny water droplets	cloud+earth
pressure	Pressure	💨	Continuous physical force exerted on an object	air+air
energy	Energy	⚡	The power to do work	fire+air
earthquake	Earthquake	🌋	A sudden shaking of the ground	earth+energy
tsunami	Tsunami	🌊	A giant wave from an earthquake	sea+earthquake
sky	Sky	🌌	The atmosphere and outer space seen from earth	air+cloud
sun	Sun	☀️	The star at the center of our solar system	sky+fire
moon	Moon	🌕	The natural satellite of the Earth	sky+stone
night	Night	🌃	The period from sunset to sunrise	sky+moon
time	Time	⏳	The indefinite continued progress of existence	sand+glass
tree	Tree	🌳	A large woody plant	plant+time
forest	Forest	🌲	A large area covered with trees	tree+tree
wood	Wood	🪵	The hard fibrous material from a tree	tree+tool
# --- Stage 3: Life Forms ---
primordial_soup	Primordial Soup	🥣	Ancient ocean full of organic molecules	sea+lava
life	Life	🧬	The condition that distinguishes organisms from inorganic matter	primordial_soup+lightning
egg	Egg	🥚	An oval object laid by female birds	life+stone
animal	Animal	🐾	A living organism that feeds on organic matter	life+earth
bird	Bird	🐦	An animal that can fly	animal+air
fish	Fish	🐟	An animal that lives in water	animal+water
lizard	Lizard	🦎	A reptile with a long body	egg+swamp
dinosaur	Dinosaur	🦖	An ancient reptile	lizard+time
fossil	Fossil	🦴	The remains of a prehistoric organism	dinosaur+earth
flower	Flower	🌸	The reproductive part of a plant	plant+sun
grass	Grass	🌿	Vegetation consisting of short plants	earth+plant
bee	Bee	🐝	A flying insect that makes honey	animal+flower
honey	Honey	🍯	A sweet, sticky substance made by bees	bee+flower
# --- Stage 4: Humanity & Civilization ---
human	Human	🧑	A sentient bipedal primate	life+tool
tool	Tool	🔧	A device used to carry out a particular function	human+stone
field	Field	🌾	An area of open land	earth+grass
farmer	Farmer	👨‍🌾	A person who cultivates land	human+field
livestock	Livestock	🐄	Domesticated farm animals	animal+farmer
clay	Clay	🏺	A stiff, sticky earth material	mud+sand
pottery	Pottery	🏺	Pots and other articles made from clay	clay+fire
bricks	Bricks	🧱	Blocks of fired clay for building	clay+fire
house	House	🏠	A building for human habitation	bricks+wood
village	Village	🏘️	A group of houses in a rural area	house+house
city	City	🏙️	A large town	village+village
charcoal	Charcoal	숯	Black carbon residue from heating wood	fire+wood
metal	Metal	⚙️	A solid material which is typically hard and shiny	stone+fire
blade	Blade	🔪	The cutting edge of a tool or weapon	metal+tool
sword	Sword	⚔️	A weapon with a long metal blade	blade+wood
warrior	Warrior	🛡️	A brave or experienced soldier	human+sword
blood	Blood	🩸	The red liquid that circulates in the body	warrior+blade
paper	Paper	📜	Material made from wood pulp for writing on	wood+pressure
writing	Writing	✍️	Marking coherent words on paper	human+paper
book	Book	📖	A written work of fiction or nonfiction	paper+writing
library	Library	📚	A building containing a collection of books	book+book
knowledge	Knowledge	🧠	Facts and information acquired through experience	book+human
civilization	Civilization	🏛️	An advanced state of human society	city+writing
# --- Stage 5: Technology ---
electricity	Electricity	⚡	Energy from charged particles	lightning+metal
lightbulb	Light Bulb	💡	An electric lamp	electricity+glass
engine	Engine	⚙️	A machine that converts power into motion	steam+metal
car	Car	🚗	A road vehicle with four wheels	engine+metal
boat	Boat	⛵	A vessel for travel on water	water+wood
ship	Ship	🚢	A large boat for transporting goods by sea	boat+metal
airplane	Airplane	✈️	A powered flying vehicle with fixed wings	bird+metal
computer	Computer	💻	An electronic device for processing data	electricity+tool
software	Software	💾	The programs used by a computer	computer+knowledge
internet	Internet	🌐	A global computer network	computer+computer
ai	AI	🤖	Artificial intelligence	software+life
robot	Robot	🤖	A machine that can carry out complex actions automatically	ai+metal
space	Space	🚀	The boundless three-dimensional extent	sky+moon
spaceship	Spaceship	🚀	A vehicle used for travel in space	airplane+space
alien	Alien	👽	A being from another world	life+space
ufo	UFO	🛸	An unidentified flying object	alien+spaceship
# --- Stage 6: Abstract & Mythical ---
story	Story	📖	An account of imaginary or real people and events	human+book
