# Element Recipes Configuration
# Format: TSV - id, recipe (recipe as two IDs, e.g., id1+id2; empty for base elements)
id	recipe
water	
fire	
earth	
air	
steam	water+fire
mud	earth+water
lava	fire+earth
dust	air+earth
lightning	fire+air
cloud	water+air
rain	cloud+water
storm	lightning+cloud
obsidian	lava+water
plant	mud+air
lake	water+water
inferno	fire+fire
mountain	earth+earth
wind	air+air
stone	earth+lava
sand	stone+wind
glass	sand+fire
sea	lake+water
beach	sea+sand
swamp	plant+mud
volcano	lava+mountain
geyser	steam+earth
mist	cloud+earth
pressure	air+earth
energy	lightning+fire
earthquake	earth+energy
tsunami	sea+earthquake
sky	air+cloud
sun	sky+fire
moon	sky+stone
night	sky+moon
time	sand+glass
tree	plant+time
forest	tree+tree
wood	tree+tool
salt	sea+fire
primordial_soup	sea+lava
life	primordial_soup+lightning
egg	life+stone
animal	life+earth
bird	animal+air
fish	animal+water
lizard	egg+swamp
dinosaur	lizard+time
fossil	dinosaur+earth
flower	plant+sun
grass	earth+plant
bee	animal+flower
honey	bee+flower
tool	stone+wood
human	life+tool
field	earth+grass
farmer	human+field
livestock	animal+farmer
clay	mud+sand
pottery	clay+fire
bricks	clay+fire
house	bricks+wood
village	house+house
city	village+village
charcoal	fire+wood
metal	stone+fire
blade	metal+tool
sword	blade+wood
warrior	human+sword
blood	warrior+blade
paper	wood+pressure
writing	human+paper
book	paper+writing
library	book+book
knowledge	book+human
civilization	city+writing
electricity	lightning+metal
lightbulb	electricity+glass
engine	steam+metal
car	engine+metal
boat	water+wood
ship	boat+metal
airplane	bird+metal
computer	electricity+tool
software	computer+knowledge
internet	computer+computer
ai	software+life
robot	ai+metal
space	sky+moon
spaceship	airplane+space
alien	life+space
ufo	alien+spaceship
story	human+book
myth	story+time
magic	energy+myth
wizard	human+magic
spell	wizard+writing
potion	magic+water
golem	clay+life
dragon	lizard+fire
phoenix	bird+fire
horse	animal+field
unicorn	horse+magic
mermaid	human+fish
pegasus	horse+bird
death	life+time
undead	life+death
zombie	undead+human
ghost	undead+air
god	human+time
angel	bird+god
demon	animal+god
heaven	sky+god
hell	lava+god
art	human+flower
music	human+wind
